"fips","median_cases","median_ratiocases","median_total_population","median_population_density","median_deaths","mean_D_stay_at_home_effective","median_days_stay_at_home_effective","median_mean_temp","median_dewpoint","median_life_expectancy","median_years_of_potential_life_lost_rate","median_age_adjusted_death_rate","median_percent_fair_or_poor_health","median_percent_low_birthweight","median_average_number_of_physically_unhealthy_days","median_percent_adults_with_diabetes","median_num_hiv_cases","median_percent_adults_with_obesity","median_food_environment_index","median_num_food_insecure","median_percent_excessive_drinking","median_percent_uninsured","median_num_primary_care_physicians","median_preventable_hospitalization_rate","median_percentile_rank_social_vulnerability","median_percentile_rank_socioeconomic_theme","median_percentile_rank_below_poverty","median_percentile_rank_unemployed","median_percentile_rank_per_capita_income","median_percentile_rank_no_highschool_diploma","median_percentile_rank_household_comp_disability_theme","median_percentile_rank_age_65_and_older","median_percentile_rank_age_17_and_younger","median_percentile_rank_disabled","median_percentile_rank_single_parent_households","median_percentile_rank_minority_status_and_language_theme","median_percentile_rank_minorities","median_percentile_rank_limited_english_abilities","median_percentile_rank_housing_and_transportation","median_percentile_percentile_rank_multi_unit_housing","median_percentile_rank_mobile_homes","median_percentile_rank_overcrowding","median_percentile_rank_no_vehicle","median_percentile_rank_institutionalized_in_group_quarters"
"13253",107,0.0123045078196872,8696,36.9679411183651,2,0.960474308300395,116,24.4444444444444,68.4,73.507731113,11384.451132,565.17192914,21.028525228,12.805755396,3.9480945376,9.6,21,30.7,7,1570,12.972464798,16.270537566,10,7234,0.8122,0.7784,0.7093,0.737,0.7186,0.7377,0.8918,0.8284,0.426,0.6183,0.751,0.4674,0.7927,0.1589,0.703,0.205,0.9335,0.7599,0.7835,0.219
"13255",796.5,0.0124441458613255,64006,326.756832741786,38,0.944444444444444,116.5,20.9444444444444,64,73.853123486,11618.242482,554.74197819,21.02132195,13.436554547,4.0356361075,15.5,181,39.3,6.8,11220,13.962437045,15.686050931,30,5920,0.8997,0.9058,0.8711,0.8606,0.8303,0.8281,0.8698,0.3894,0.7647,0.6103,0.8099,0.6507,0.8112,0.4511,0.731,0.5616,0.3779,0.6676,0.8424,0.5065
"13257",495,0.0193480300187617,25584,142.822631040184,8,0.960474308300395,116,21.3333333333333,61.6,73.285085063,11066.090464,552.59135805,18.412012735,9.1531223268,3.7107923089,11.4,36,37.2,7.6,3440,15.604205117,15.776458952,17,5867,0.8112,0.8621,0.7526,0.8742,0.8157,0.7644,0.54,0.6049,0.475,0.7749,0.2111,0.5256,0.5266,0.5177,0.7743,0.2267,0.8309,0.7205,0.6425,0.6304
"13259",245,0.0423070281471249,5791,12.623480908969,5,0.987755102040816,119,23.3333333333333,65.5,73.820175538,12236.425152,583.86682586,33.025990848,11.290322581,4.986963306,13.9,48,31.6,6.1,1270,13.512806012,17.922374429,2,5923,0.9812,0.9987,0.9975,0.9672,0.9901,0.9962,0.588,0.2833,0.0102,0.9328,0.8943,0.9911,0.9748,0.9841,0.8921,0.198,0.9554,0.205,0.992,0.9943
"13261",693,0.0223044737689089,31070,64.3679487370324,55,0.945525291828794,114,24.4444444444444,66.3,72.791073457,11944.754185,579.65372629,24.754691024,12.946428571,4.4402220297,15,117,36.7,5.3,7220,13.051987869,17.244663809,20,5101,0.9857,0.9653,0.9819,0.951,0.9032,0.8762,0.7835,0.2585,0.7342,0.4308,0.9799,0.8255,0.9341,0.6084,0.9879,0.5813,0.7026,0.738,0.9519,0.8691
"13263",124.5,0.0195355405617449,6373,16.283053726389,3,0.983739837398374,119.5,22.5555555555556,64.25,77.147790124,7419.3544691,420.11236366,21.452399794,11.405835544,3.909034481,22.4,23,37.3,6.2,1140,11.757578095,15.195767196,2,2635,0.7889,0.8669,0.7816,0.7931,0.7997,0.8516,0.3763,0.7211,0.0955,0.7873,0.2665,0.7571,0.9335,0.4893,0.589,0.3174,0.9698,0.6463,0.7389,0.0271
"13267",334,0.0132224861441013,25260,52.6776002548024,1,0.952569169960474,115,24,68.5,75.15470349,9276.4370382,484.23325039,21.97331949,10.45211473,4.1516752426,22.8,90,43.3,7.6,3980,15.376403533,18.954894211,7,6332,0.9207,0.8411,0.9449,0.2588,0.9777,0.9526,0.4747,0.0965,0.3282,0.68,0.8959,0.8475,0.8211,0.7625,0.9653,0.0614,0.9834,0.8045,0.8322,0.9895
"13271",238,0.0145077720207254,16405,37.5140167964027,6,0.99581589958159,118,24.8888888888889,66.8,78.754985777,8918.0051556,427.37975612,24.822790236,11.235955056,4.3176577675,16.1,78,25.1,6.8,3310,14.307313724,16.260904849,4,6236,0.8876,0.829,0.9548,0.1754,0.9975,0.9634,0.2009,0.2833,0.0684,0.3709,0.8551,0.9481,0.8873,0.9478,0.9519,0.0513,0.9656,0.7412,0.8274,0.9873
"13275",890.5,0.0197990083820619,44977,82.5870166339216,38.5,0.964285714285714,116.5,23.75,68.35,75.648104801,9550.7085402,462.1499026,20.440507401,10.639324487,3.9280928666,14.4,138,32.5,6.2,7730,14.053660413,16.119270385,43,5535,0.8984,0.816,0.8026,0.8335,0.6638,0.7431,0.9303,0.4174,0.7373,0.6673,0.916,0.738,0.8306,0.5616,0.7491,0.3607,0.6905,0.7431,0.7049,0.4928
"13277",1150,0.0282617777887002,40691,155.978437100969,34,0.945098039215686,113,23.7777777777778,68.2,75.151083555,8926.2145423,481.86328342,21.969560188,12.378167641,4.1867216111,12.1,153,36,7,7040,14.561740034,17.767639903,35,5823,0.8905,0.7332,0.9421,0.2588,0.78,0.7619,0.872,0.1748,0.8058,0.6253,0.9733,0.6972,0.8411,0.4906,0.9185,0.5189,0.8618,0.3161,0.9462,0.7994
