"county","median_cases","median_ratiocases","median_total_population","median_population_density","median_deaths","mean_D_stay_at_home_effective","median_days_stay_at_home_effective","median_mean_temp","median_dewpoint","median_life_expectancy","median_years_of_potential_life_lost_rate","median_age_adjusted_death_rate","median_percent_fair_or_poor_health","median_percent_low_birthweight","median_average_number_of_physically_unhealthy_days","median_percent_adults_with_diabetes","median_num_hiv_cases","median_percent_adults_with_obesity","median_food_environment_index","median_num_food_insecure","median_percent_excessive_drinking","median_percent_uninsured","median_num_primary_care_physicians","median_preventable_hospitalization_rate","median_percentile_rank_social_vulnerability","median_percentile_rank_socioeconomic_theme","median_percentile_rank_below_poverty","median_percentile_rank_unemployed","median_percentile_rank_per_capita_income","median_percentile_rank_no_highschool_diploma","median_percentile_rank_household_comp_disability_theme","median_percentile_rank_age_65_and_older","median_percentile_rank_age_17_and_younger","median_percentile_rank_disabled","median_percentile_rank_single_parent_households","median_percentile_rank_minority_status_and_language_theme","median_percentile_rank_minorities","median_percentile_rank_limited_english_abilities","median_percentile_rank_housing_and_transportation","median_percentile_percentile_rank_multi_unit_housing","median_percentile_rank_mobile_homes","median_percentile_rank_overcrowding","median_percentile_rank_no_vehicle","median_percentile_rank_institutionalized_in_group_quarters"
"Acadia",2247.5,0.0360337972166998,62372,95.205635723508,67.5,0.996124031007752,127.5,24.5555555555556,67.6,75.440695653,9741.6751956,489.58593765,20.890035316,9.5145631068,4.8041919455,11.4,112,38.4,7.8,9430,19.778028886,10.665807234,23,7073,0.9109,0.8711,0.774,0.7752,0.7615,0.9309,0.9226,0.1643,0.907,0.7125,0.9255,0.6084,0.6014,0.5877,0.8236,0.4024,0.7335,0.8357,0.7475,0.4244
"Accomack",1059,0.032032667876588,33060,73.5799036274692,15,0.959839357429719,115,19,54.4,76.215010426,9630.476973,444.06489703,20.08919894,9.8756125141,4.1894585471,15.9,94,36.3,7.9,4630,15.480572436,16.649112857,16,4264,0.8319,0.6991,0.7294,0.5256,0.5737,0.7841,0.4419,0.8138,0.2897,0.2203,0.6358,0.886,0.802,0.8669,0.8787,0.4018,0.767,0.5766,0.8472,0.7081
"Ada",6423,0.0150846175886218,425798,404.551457631519,41,0.954372623574145,119,16.7222222222222,37,80.781476806,5088.3779692,256.64266175,11.474881999,6.5757177921,3.2099499124,7.9,187,25.6,8.1,52080,17.87623376,8.7432917648,428,2677,0.1681,0.1369,0.2795,0.2837,0.1544,0.0366,0.1442,0.1165,0.8211,0.0764,0.4413,0.5807,0.4744,0.6692,0.2521,0.8173,0.1751,0.3381,0.234,0.4527
"Adair",128,0.00501037303793009,25547,45.030735133749,0,0.945525291828794,114,17.6666666666667,54.7,77.531515136,8412.0721659,413.25475724,21.401499805,8.3557951482,4.8086330611,8.4,42,27.9,6.6,4450,18.929940413,10.602460531,26,2032,0.3792,0.6702,0.9185,0.4502,0.837,0.3085,0.0137,0.1964,0.0968,0.1971,0.1067,0.3922,0.3397,0.4753,0.696,0.659,0.3862,0.0825,0.8195,0.9414
"Adams",410,0.00765426654487038,31747,68.6654195029937,9,0.977290524667189,124,18.9444444444444,47.2,78.288202676,7087.0936201,365.58197045,22.300027705,8.7597683581,4.3175848607,11,47,35.3,8.3,7380,16.142726551,11.026551173,29,6027,0.7654,0.8535,0.8586,0.4368,0.8857,0.7752,0.5903,0.4091,0.7781,0.3337,0.8698,0.9452,0.8758,0.923,0.5922,0.7084,0.5259,0.6514,0.6154,0.3362
"Addison",68,0.00184152087959703,36926,48.1856543208545,2,0.981220657276995,104,12.2777777777778,42.8,81.606988547,4188.0399786,222.72064862,9.683870326,6.4397424103,2.8698912078,9,31,25.5,8.7,3730,21.680184872,6.2158494994,42,2760,0.1649,0.0958,0.0872,0.2502,0.1512,0.1238,0.1047,0.4683,0.0793,0.3795,0.4148,0.3337,0.2541,0.4686,0.5705,0.5957,0.3862,0.3563,0.4358,0.8962
"Aitkin",40,0.0025442055718102,15722,8.63023961516231,1,1,137,13.7222222222222,45.8,77.349242833,10287.669345,408.91647457,14.234821762,6.2653562654,3.499348291,14.5,7,29.5,7.7,1680,18.558452285,6.6227693482,13,8597,0.3139,0.3247,0.3161,0.5256,0.3875,0.2066,0.5002,0.9892,0.0481,0.7125,0.277,0.142,0.2053,0.1729,0.4989,0.4425,0.5642,0.6409,0.4537,0.433
"Alachua",2710,0.010561966786317,256581,293.21754757822,14,0.909774436090226,108.5,24.2777777777778,70.85,79.130398872,6823.5713755,344.68866734,17.61444956,9.8970625157,4.1250477362,8.8,970,26.7,6.6,48610,18.676607081,11.865669582,422,5058,0.4871,0.4874,0.8828,0.5256,0.3881,0.1238,0.0143,0.1067,0.071,0.0981,0.3228,0.745,0.7861,0.6164,0.93,0.9755,0.3922,0.4454,0.8071,0.8641
"Alameda",8648,0.00538743359932022,1605217,2171.87426566942,154,0.934545454545455,119,18.5555555555556,47.2,82.87623703,4408.5910489,231.22311113,12.412219044,7.2587957251,3.010286402,6.9,5713,19.4,8.3,198950,19.889669435,5.7827935577,1832,3298,0.5164,0.2961,0.263,0.5425,0.0267,0.4951,0.0328,0.1067,0.3499,0.0535,0.4066,0.9812,0.9608,0.9672,0.9112,0.9828,0.0408,0.9653,0.8991,0.525
"Alamosa",221,0.0135143398764753,16353,22.6315070000501,8,1,125,13.9444444444444,25.4,76.176734491,9380.5366717,424.15941375,22.840436161,10.296096904,4.5328008301,6.4,18,24,8.2,2010,16.539377237,13.191061625,13,2265,0.9834,0.8819,0.9701,0.737,0.9226,0.6635,0.7077,0.1235,0.7752,0.7749,0.6084,0.9067,0.8876,0.8262,0.9987,0.7947,0.7335,0.8984,0.8676,0.8682
"Albany",2413.5,0.00783881308644943,307891,588.910708747266,124,0.962686567164179,123.5,14.3055555555556,47,80.033193096,5821.0724177,304.14630929,14.208671407,8.1184783117,3.3307102858,9.1,1104,27.3,8,36970,20.015961267,4.4009381719,311,4274,0.2512,0.1678,0.3244,0.3531,0.072,0.1143,0.0271,0.2833,0.1203,0.127,0.3018,0.7316,0.6581,0.723,0.6953,0.914,0.0462,0.1309,0.9608,0.8351
"Alcorn",351.5,0.00942131925272722,37309,93.2630567643821,4,0.984,120.5,21.3055555555556,62.25,73.48553847,11917.607937,560.02966028,22.494803544,11.388250738,4.6377598732,18.6,43,35.3,7.5,5560,15.003575599,14.397590361,13,7291,0.7517,0.7896,0.7479,0.6205,0.8227,0.7574,0.8516,0.4683,0.6918,0.8214,0.5521,0.5861,0.5234,0.6281,0.3935,0.3859,0.6243,0.617,0.4358,0.2668
"Alexander",37,0.00524748262657779,7051,29.9378774013311,0,1,140,20.9444444444444,61.7,74.445441538,9900.3563799,529.49601662,24.272540011,8.3194675541,4.8797433771,7.9,19,26.2,5.4,1500,14.512381251,6.3651248465,1,5385,0.9959,0.9838,0.9806,0.9293,0.9723,0.9398,0.9984,0.6507,0.6883,0.9417,0.9577,0.4858,0.7975,0.1805,0.9943,0.7931,0.6622,0.7921,0.9475,0.765
"Alger",17,0.00180928054491273,9396,10.2680018777661,0,1,168,14.9444444444444,49.3,80.135048232,5457.0935156,269.89250112,15.404847507,7.4941451991,4.1241563031,11.2,7,25.8,6.9,1240,18.730454211,7.6301162203,7,1506,0.3967,0.5247,0.3362,0.6078,0.7529,0.3438,0.3206,0.8968,0.0191,0.7692,0.1044,0.333,0.5005,0.22,0.4158,0.376,0.3085,0.2085,0.5339,0.943
"Allegan",477,0.00419650555135221,113666,137.737745937045,6,0.988416988416988,126,15.2777777777778,47.9,79.133354588,6180.5699672,317.95733298,14.210075459,6.5528866414,3.8979333197,8.8,97,33.5,8.9,10420,19.113056517,5.4587306807,27,3553,0.1859,0.2416,0.2455,0.2168,0.3833,0.2923,0.1605,0.2732,0.8055,0.1114,0.3028,0.4225,0.3922,0.4776,0.2439,0.503,0.5202,0.6145,0.1907,0.1633
"Allegany",143,0.00249110320284698,47700,46.3421861076953,6,0.987679671457906,131,14.8333333333333,49.3,77.99982845,7283.1368139,366.59766385,14.416292355,6.9578313253,3.7195013735,10.9,32,35.9,8.1,5880,20.052656738,5.8537727565,20,5268,0.6176,0.6154,0.5925,0.6714,0.7189,0.375,0.3231,0.4476,0.2448,0.5107,0.5915,0.2757,0.1761,0.4441,0.9096,0.4161,0.6377,0.5651,0.8555,0.9351
"Alleghany",59,0.00370626295621584,15919,35.7356811797516,4,0.99581589958159,130,15.8888888888889,50.9,76.253126934,8808.9850785,453.07726725,16.121545716,7.4972436604,3.8780826982,16.6,21,35.7,8,1860,16.226538638,9.8584117492,7,7221,0.3719,0.4906,0.6651,0.2057,0.4295,0.6304,0.4747,0.9137,0.1528,0.8032,0.1309,0.2862,0.2983,0.3407,0.3352,0.6208,0.3518,0.2104,0.5495,0.4788
"Allen",1280,0.00964992738668501,104664,260.034919170837,50,0.994659546061415,125,19.6111111111111,57.7,76.53565192,9037.4934331,418.4654604,17.705718867,9.3527617757,4.1210242882,13.2,175,34,7.3,15600,17.796320613,9.3275852416,68,6380,0.5712,0.5234,0.5107,0.6078,0.554,0.3601,0.6027,0.1684,0.6202,0.483,0.8306,0.758,0.6422,0.7342,0.6154,0.7615,0.1964,0.4718,0.7284,0.7561
"Alpena",127.5,0.00440734211345017,28929,50.5870750154684,13,1,136.5,13.1666666666667,46.85,77.992790879,7178.7260559,367.94188303,14.694377187,6.984298863,4.0950827228,13.7,20,33.6,8.1,3680,19.115718188,6.1520684077,21,3818,0.3922,0.5298,0.5387,0.6361,0.616,0.269,0.6883,0.8424,0.1531,0.738,0.5266,0.141,0.0799,0.297,0.3305,0.5909,0.3037,0.1092,0.7284,0.4699
"Amelia",85,0.00664425857891034,12793,36.0093376781718,2,0.981735159817352,139,17.9444444444444,57,75.781118101,10421.694366,475.79871569,15.539960662,7.0304302204,3.6263230195,14.9,14,41.3,8.1,1420,16.614805152,13.600381497,1,4610,0.2085,0.3728,0.2404,0.148,0.418,0.7599,0.2693,0.5944,0.3286,0.3025,0.4871,0.3846,0.6749,0.1273,0.1098,0.0446,0.8281,0.4457,0.0704,0.2047
"Amherst",95.5,0.00298446826463327,31999,67.5173278399129,0,0.968992248062015,120.5,19.0555555555556,57.6,78.358014212,7514.2282828,366.9278318,16.059073072,7.6219512195,3.643617978,14.5,39,35.2,8,3630,16.51968908,12.347516851,7,5247,0.4702,0.5132,0.398,0.3158,0.5696,0.7135,0.228,0.659,0.2089,0.4107,0.3626,0.6488,0.6348,0.6243,0.4308,0.1232,0.5304,0.5511,0.4734,0.7275
"Amite",198.5,0.0156397730854081,12692,17.3839221053965,4.5,0.976190476190476,119.5,23.8333333333333,66.95,76.851184729,9702.7353214,489.12080901,24.682269669,12.165178571,4.6710677459,15.2,19,39.9,6.3,2440,11.886734864,18.367346939,3,5385,0.7195,0.9586,0.9475,0.88,0.9284,0.9083,0.738,0.8103,0.341,0.8972,0.2757,0.4292,0.8332,0.0519,0.2133,0.0274,0.9316,0.3543,0.4734,0.1108
"Anderson",991,0.0134092262889668,75545,224.049393605405,5.5,0.976190476190476,120.5,22.0555555555556,62.95,75.534837529,10009.216744,475.18990164,19.095370564,8.7621446564,4.3375166808,10.8,79,32.9,7.5,9540,14.32528131,10.280744684,41,4916,0.5906,0.5521,0.5976,0.5813,0.3674,0.5893,0.7571,0.6686,0.3072,0.7628,0.616,0.4464,0.3674,0.546,0.5511,0.7921,0.5116,0.3279,0.6297,0.3696
"Andrew",88,0.00507292327203551,17347,40.089836948418,1,1,123.5,19.25,55.3,79.681076329,6467.8532391,307.05550218,16.336582174,6.631097561,4.1158124178,12.1,19,31.9,8.5,1830,18.845870256,9.3614035088,2,4186,0.0462,0.1716,0.1067,0.1888,0.3279,0.2553,0.3028,0.5119,0.5622,0.3795,0.3101,0.0369,0.1468,0,0.0509,0.3512,0.3442,0.3337,0.0621,0.2264
"Andrews",268,0.0155678187627069,17215,11.4711552297133,6,1,124,23.2777777777778,47.6,77.459563506,7137.5099015,372.43546261,19.851002217,6.292749658,3.6495460588,6.7,13,34.9,8.1,1480,20.115429871,22.053520592,9,5664,0.4836,0.382,0.1872,0.2719,0.1843,0.9551,0.1012,0.0315,0.9764,0.1047,0.219,0.9656,0.9217,0.9592,0.5266,0.6804,0.8087,0.9768,0.0621,0.0541
"Androscoggin",515,0.00479623007003427,107376,229.469503268805,5,0.921348314606742,112,12.8888888888889,45,77.564429361,7292.7171213,372.46636661,13.448855437,8.0531576556,3.6728703155,12.2,134,33.9,7.7,15240,19.862958983,9.4466201655,88,3799,0.5466,0.3598,0.4438,0.3531,0.3871,0.3438,0.5954,0.3464,0.4215,0.5492,0.8131,0.4101,0.3238,0.5231,0.8701,0.8294,0.4323,0.4489,0.8946,0.6705
"Angelina",1626.5,0.0185552779584061,87657,109.876234722379,32,0.97244094488189,119.5,24.25,65.95,76.13032605,8913.8128605,461.76980326,20.900429989,9.0500485909,4.0914015507,14.3,144,40.7,6.2,16570,15.738964327,21.657537309,52,4638,0.9669,0.7908,0.7348,0.6937,0.717,0.8093,0.9733,0.2732,0.887,0.8325,0.9405,0.9007,0.7931,0.9089,0.9172,0.6406,0.7574,0.9268,0.3814,0.7281
"Anne Arundel",6152,0.0109908760721553,559737,1349.13090207999,214,0.935849056603774,115,18.1666666666667,56.9,79.230199223,6809.3863006,323.24225905,12.171960063,7.7280457958,3.2372232033,9.6,1338,29.4,8.9,39760,19.249079205,5.5851944362,398,4625,0.1563,0.057,0.0236,0.3158,0.0131,0.1598,0.0614,0.1589,0.5167,0.0764,0.3922,0.7402,0.6972,0.7004,0.3416,0.9277,0.0694,0.3964,0.1754,0.6581
"Anoka",2819,0.0082608300683665,341249,806.784426687563,111,0.937037037037037,117.5,15.2222222222222,44.15,81.402045624,5128.849931,258.65091721,11.88727407,6.2693788545,3.1455257704,8.9,424,30.4,8.7,25410,21.11315441,4.5945471817,180,7191,0.1436,0.0436,0.0497,0.2369,0.0818,0.0732,0.1461,0.0837,0.7708,0.0611,0.547,0.6466,0.5228,0.7345,0.2429,0.8835,0.1229,0.5345,0.3298,0.1184
"Antrim",37,0.00159379711393496,23215,48.8015182973184,0,1,130.5,13.5555555555556,45.6,80.485174326,6080.2947443,293.02114925,14.002848344,6.1423220974,3.9842749361,7.4,14,31.9,8.5,2680,18.102877445,8.1259582498,14,4161,0.1875,0.3282,0.3244,0.6361,0.2362,0.2477,0.2897,0.9462,0.1238,0.5288,0.1471,0.2327,0.1404,0.4024,0.1678,0.397,0.4015,0.6218,0.1754,0.1761
"Apache",2740,0.0378735520968678,72346,6.46092981529062,110,0.95850622406639,110,15.4444444444444,22.8,72.923211086,15888.929646,598.95783457,25.951201969,7.2624931356,5.6130582809,16.8,111,33.5,2,17330,12.944995818,19.17271189,23,5244,0.9885,0.985,0.9885,0.9825,0.9933,0.8647,0.8195,0.1544,0.9637,0.4308,0.9166,0.9723,0.9854,0.9147,0.9032,0.1331,0.8383,0.9965,0.9163,0.5014
"Appling",549.5,0.0298479087452471,18410,36.3027861822426,16,0.983739837398374,118.5,24.2777777777778,67.45,75.209436817,9669.0902695,486.57656009,22.395262135,9.7064110246,4.1561778933,17.7,28,38.8,7.3,2740,14.310234745,19.145356662,7,7237,0.9433,0.8736,0.774,0.7163,0.8472,0.9134,0.928,0.3133,0.8434,0.781,0.7937,0.7679,0.7011,0.738,0.8695,0.0611,0.9825,0.8048,0.766,0.659
"Appomattox",70,0.00457098080188063,15314,45.9228742104375,0,1,125,19.4444444444444,60.7,76.495961354,8717.7024623,396.95035724,16.56063666,8.5557299843,3.8003773755,17.8,24,47.4,8.5,1780,16.606061075,11.807791372,2,4541,0.3811,0.4893,0.6049,0.1955,0.454,0.6714,0.7179,0.6686,0.3983,0.5934,0.638,0.397,0.6215,0.2012,0.1713,0.3209,0.7335,0.2623,0.4187,0.0446
"Arapahoe",6075,0.00983538081946936,617668,774.088913895269,352,0.936329588014981,116,16.7777777777778,33.7,81.115142245,5338.0432931,250.42224564,11.684058075,9.5992249073,3.0682489037,7,1499,22.1,8.4,70150,17.881841129,8.5250561118,538,3069,0.3056,0.1375,0.1872,0.3792,0.0564,0.1356,0.2012,0.0837,0.7733,0.0382,0.6832,0.8905,0.7915,0.8918,0.3833,0.9869,0.0331,0.7765,0.4187,0.0952
"Archuleta",32,0.00259004451639013,12355,9.15124488005202,0,1,126.5,14.0555555555556,26.25,82.146124572,6069.4081655,263.52356569,13.831244068,7.4534161491,3.4428811406,4.5,9,23.9,7.8,1290,15.932279393,12.915392457,12,2929,0.2569,0.2372,0.219,0.4823,0.213,0.1999,0.1573,0.8637,0.0621,0.4639,0.0981,0.6132,0.6183,0.5762,0.3368,0.5154,0.4865,0.8854,0.042,0.2862
"Arlington",2776,0.0122781876404296,226092,8698.59622382187,135,0.929368029739777,115,18.9444444444444,55.5,85.210292224,2789.4895285,160.56022496,11.294389204,6.7518831317,2.7765487365,3.8,880,19.6,9.3,16710,22.229709875,7.656820841,188,2717,0.1226,0.0111,0.0872,0.0993,6e-04,0.0618,3e-04,0.0191,0.0462,0.0016,0.0411,0.8717,0.781,0.8529,0.7482,0.9994,0.0064,0.7319,0.9519,0.2989
"Aroostook",32,0.000461061883149629,69405,10.4038546403531,1,1,123.5,12.1111111111111,42.65,77.983122284,7924.7663485,369.1947297,17.492794482,7.6956427488,4.2920681282,13.2,35,35.9,7.4,10620,15.311525681,11.815796796,72,5097,0.5501,0.5619,0.6291,0.4094,0.6396,0.489,0.6059,0.8284,0.1143,0.9067,0.2964,0.2999,0.1745,0.496,0.6546,0.6218,0.4518,0.2894,0.766,0.6861
"Ascension",2357,0.0201437496260971,117009,403.515535787917,65,0.96943231441048,127,25.3333333333333,69.9,78.733676249,6933.4941426,329.18209121,16.66091447,8.9027789509,4.1008941359,13.2,235,33.1,8.1,12150,23.980304212,7.06536831,49,4112,0.3279,0.256,0.2375,0.3677,0.1538,0.4327,0.517,0.0334,0.9357,0.1614,0.9118,0.6154,0.7036,0.4935,0.2738,0.4339,0.7864,0.6192,0.1519,0.078
"Ashland",43,0.00169427710843373,53343,126.120345242825,1,0.990215264187867,128,14.5,47.9,77.805639776,7482.7192757,372.11925594,16.792561078,5.9581320451,4.0933872204,10.8,17,33.3,8.2,6890,19.026727107,8.2375203603,26,4998,0.517,0.4938,0.4811,0.3422,0.6288,0.489,0.4371,0.5018,0.5565,0.4107,0.4877,0.3505,0.0805,0.6711,0.7243,0.6714,0.2652,0.5629,0.6705,0.7673
"Ashtabula",515.5,0.00519788253087976,99175,141.287676800173,44,0.988461538461539,126.5,15.7777777777778,50.5,75.317702646,10012.611725,472.98785428,16.773893778,8.1555671176,4.1774237787,13.8,98,37.6,6.9,15030,16.983425395,8.3035131252,35,6681,0.7482,0.7386,0.7348,0.6714,0.7539,0.5944,0.7291,0.5018,0.5132,0.5559,0.7418,0.4132,0.3591,0.4928,0.7619,0.6848,0.3518,0.475,0.788,0.7256
"Asotin",24,0.00108533441866775,22113,34.7644184251771,2,1,133.5,17.2222222222222,41.8,79.496561332,7107.4141735,348.16499315,15.313680443,6.1713600959,3.9360720252,12.5,18,32,7.9,2790,17.199009837,6.5110065633,19,2857,0.4502,0.4448,0.4212,0.6937,0.3878,0.2999,0.7864,0.8055,0.2795,0.7749,0.5466,0.213,0.3174,0.1882,0.475,0.6609,0.5498,0.5591,0.5645,0.1531
"Atascosa",405,0.00848878641794173,47710,39.121292354812,13,0.968627450980392,119,26.1111111111111,67.5,78.256183319,7753.5547113,380.09974779,23.67838846,7.9890962466,4.0499333071,17.1,50,36.7,8.3,4210,17.596359671,19.01973021,8,5400,0.7338,0.674,0.4756,0.5552,0.5651,0.9341,0.5597,0.1818,0.9459,0.1503,0.8087,0.9513,0.9542,0.8863,0.4292,0.0497,0.951,0.9586,0.313,0.1309
"Athens",344,0.00528393468810961,65103,129.268759337818,1,1,132,17.5555555555556,56.2,77.952990737,7014.1497948,369.26756883,20.618433863,8.5460897608,4.66321172,12.2,46,33.4,5.8,12680,20.134033131,9.3174790927,50,3544,0.6995,0.8026,0.9691,0.8007,0.9,0.3244,0.0458,0.0675,0.015,0.5288,0.4196,0.3193,0.3645,0.3378,0.9936,0.8746,0.6753,0.5954,0.8071,0.9717
"Atlantic",3248.5,0.0118547145161408,274026,493.212625143928,240,0.988461538461539,126.5,17.6111111111111,54.95,77.247047169,8917.8426693,408.41173821,20.650695155,8.1003721019,4.410855307,12.3,1237,29.8,7.6,34780,17.004453804,10.463773958,227,5291,0.8023,0.5756,0.4858,0.9293,0.2178,0.5798,0.4279,0.3575,0.4368,0.2595,0.8908,0.9287,0.8399,0.9325,0.8991,0.9551,0.0888,0.7997,0.9723,0.5562
"Attala",471,0.0246790673303642,19085,25.9666352020363,24,0.949612403100775,116.5,22.9166666666667,64.7,73.815498579,11153.956752,518.38193028,24.11024276,13.631022327,4.4087001724,19.7,31,37.3,5.9,3770,12.48985767,14.450944792,9,5626,0.9618,0.9312,0.8879,0.9153,0.8045,0.9019,0.9917,0.6753,0.8523,0.7943,0.7638,0.4916,0.8577,0.1289,0.8946,0.3827,0.7899,0.8153,0.8848,0.4849
"Audrain",204,0.00788619143343127,25868,37.3688319721923,1,1,126.5,18.4166666666667,58.55,75.890456661,8793.1108464,419.69541905,19.399256445,9.2735042735,4.6146641106,15.7,28,35.1,7.5,3670,17.482449036,12.297700728,13,3828,0.6122,0.7351,0.6291,0.6466,0.8424,0.6304,0.5667,0.4575,0.6033,0.4527,0.5823,0.4148,0.4346,0.4193,0.4534,0.2888,0.2709,0.3438,0.6587,0.8927
"Auglaize",174,0.00379324627760459,45871,114.279988364378,5,1,126,17.6111111111111,52.3,79.206959102,6454.2979291,312.70910534,14.566995823,7.3170731707,3.7267423405,11.2,21,38.3,8.6,4780,18.5046004,5.6595210764,18,4843,0.0586,0.1152,0.092,0.148,0.326,0.1063,0.2324,0.4575,0.7485,0.1789,0.2623,0.1149,0.0707,0.2474,0.1216,0.5431,0.1691,0.3107,0.3986,0.2057
"Augusta",252.5,0.00339701331898291,74330,76.8632198546925,4,1,125.5,16.8333333333333,55.65,80.747348293,5801.0652813,296.07491673,14.207762165,6.1006726977,3.5093609405,16.6,61,33.5,8.9,5750,16.241964219,11.1581822,37,4305,0.1273,0.2321,0.1067,0.2369,0.2155,0.5374,0.1318,0.6507,0.2022,0.3709,0.1948,0.2604,0.3091,0.2846,0.2136,0.4508,0.4667,0.0592,0.1261,0.795
"Austin",211,0.00724911533308139,29107,45.0230298485073,3,0.968627450980392,119,25.2777777777778,70.4,78.919241711,7371.1545231,339.45363598,17.116888869,7.949790795,3.5948748158,10.4,53,31.5,7.6,4300,19.415096651,20.244660999,6,4223,0.5422,0.4222,0.4212,0.3531,0.228,0.7268,0.6218,0.5524,0.7695,0.3337,0.5148,0.8803,0.7679,0.8902,0.3247,0.27,0.6963,0.8933,0.1907,0.1407
"Autauga",913,0.0165852240730985,55049,92.6055333801792,21,0.954918032786885,110.5,23.6944444444444,65.95,76.879477172,8128.5911903,417.54755051,20.882987328,8.6195286195,4.7438888672,11.1,101,33.3,7.2,7270,15.026031257,8.7216859511,25,7108,0.3773,0.3298,0.2824,0.3298,0.3607,0.4744,0.5568,0.1964,0.8313,0.738,0.32,0.5976,0.6339,0.5355,0.2881,0.6791,0.7268,0.2477,0.3298,0.1251
"Avoyelles",781,0.0189324153980413,41252,49.5590860543851,23,0.99203187250996,123,23,65.5,73.799994383,11511.871548,547.45395129,24.494734265,11.743215031,5.1517020688,13.1,168,44.7,6.6,7140,19.004419687,10.242020344,11,6979,0.936,0.9045,0.8609,0.7163,0.8485,0.9596,0.8485,0.3133,0.6969,0.7233,0.7918,0.5626,0.7456,0.362,0.9526,0.2827,0.73,0.7768,0.8676,0.9175
"Bacon",399,0.0354635143542796,11251,39.6111488015389,6,0.979757085020243,118,24.2777777777778,67.4,73.169691896,10877.353773,607.71354685,20.004145373,9.5238095238,4.0586508422,18.4,45,37.4,7.6,1570,15.132918768,19.383212075,7,9126,0.8389,0.7144,0.6651,0.2837,0.9128,0.8023,0.8765,0.2162,0.8682,0.7692,0.7373,0.7488,0.6527,0.7558,0.7246,0.1012,0.9768,0.6348,0.3986,0.8259
"Baker",86,0.00474111041796631,27312,46.6688435648571,3,0.959915611814346,130.5,21.6111111111111,54.65,75.303626385,10068.402091,496.71916219,19.933229887,9.5178197065,4.3092107487,15.5,108,37.9,6.7,4170,19.230749024,11.966438953,10,4966,0.7023,0.7061,0.6756,0.4957,0.7348,0.7377,0.6186,0.135,0.7743,0.5559,0.6988,0.4906,0.5412,0.4444,0.6858,0.1003,0.9943,0.774,0.0786,0.9249
"Baldwin",831,0.0181409360810339,45808,177.12491065486,37,0.948818897637795,113.5,22.9722222222222,66.4,74.864320886,10135.292221,498.24181652,23.518849376,12.624254473,4.2452571407,11.6,120,37.1,6,9520,14.379550372,15.912636505,25,4560,0.8418,0.8768,0.9599,0.6813,0.873,0.7482,0.1321,0.1818,0.1477,0.3795,0.7122,0.6724,0.8656,0.425,0.9608,0.7533,0.7924,0.4034,0.774,0.9137
"Baltimore",2021,0.00244772099129672,825666,1379.87742413788,67,0.776470588235294,23,13.2777777777778,40.1,78.083645782,8090.8558084,377.34359909,13.813202217,8.962339802,3.1955955714,10.7,3237,30.9,8.4,91410,17.169414171,6.1364451946,843,5172,0.3582,0.1417,0.1143,0.3792,0.0506,0.2286,0.1764,0.3464,0.3728,0.1547,0.6523,0.8574,0.8122,0.7931,0.6457,0.9742,0.0312,0.4136,0.774,0.6046
"Baltimore city",1734,0.00279227053140097,621000,7671.99001950679,71,0.814814814814815,25,13.5,40.7,72.782590084,13652.312174,632.92078614,18.766013095,11.869017632,3.7435894019,12.5,11198,34.9,6.6,131860,18.577861884,7.6409224371,593,6325,0.8364,0.737,0.8609,0.9153,0.2996,0.6769,0.3629,0.1038,0.3145,0.4938,0.9392,0.9064,0.9736,0.7399,0.8656,0.9608,0.0032,0.5498,0.994,0.7552
"Bandera",89,0.00423507018796098,21015,26.5678250785021,3,1,126.5,23.8333333333333,62.25,79.552845669,7555.7172342,337.90456605,16.935833605,9.21386306,3.6562149929,8.6,23,29.9,6.8,3090,16.989327698,18.650132642,6,2489,0.3378,0.3327,0.5536,0.1573,0.219,0.525,0.3827,0.9366,0.0595,0.7692,0.1146,0.5011,0.5845,0.4152,0.3426,0.029,0.9456,0.5947,0.0261,0.6329
"Banks",218,0.0118891797556719,18336,79.0036130448845,3,0.983471074380165,116.5,21.1111111111111,63.1,76.1053716,9994.1537265,431.46238495,17.236689605,7.5498575499,3.6682249606,11,19,34.1,8.7,1820,16.297344364,19.340388236,4,6769,0.6635,0.7841,0.4858,0.6205,0.8867,0.9319,0.7373,0.3894,0.6469,0.581,0.7058,0.6224,0.4069,0.8052,0.2416,0.0723,0.951,0.6867,0.2763,0
"Bannock",314.5,0.00375231163872815,83815,75.3413980820885,2,0.996031746031746,124.5,13.6944444444444,34.7,76.856042438,8050.1298661,394.80224147,14.893500207,7.8007627412,4.0266672439,9.4,31,32,7.4,11510,15.820824662,10.723097628,64,2883,0.5521,0.5059,0.6651,0.5425,0.6094,0.1598,0.4734,0.1165,0.9077,0.4419,0.5339,0.419,0.4906,0.3715,0.737,0.7682,0.4101,0.6593,0.5033,0.6256
"Barbour",29,0.00171678901255032,16892,49.5281091943811,1,1,133,17.6666666666667,53.7,76.217178727,10037.818826,462.29331008,23.721308626,7.4852817494,5.4782806,16.7,12,37.2,7.5,2530,12.61169989,8.2136190244,7,4569,0.6613,0.8456,0.8395,0.6466,0.9,0.7644,0.6205,0.6243,0.2423,0.8669,0.4346,0.0697,0.0955,0.1372,0.6937,0.5049,0.6622,0.0993,0.9198,0.6985
