"county","median_cases","median_ratiocases","median_total_population","median_population_density","median_deaths","mean_D_stay_at_home_effective","median_days_stay_at_home_effective","median_mean_temp","median_dewpoint","median_life_expectancy","median_years_of_potential_life_lost_rate","median_age_adjusted_death_rate","median_percent_fair_or_poor_health","median_percent_low_birthweight","median_average_number_of_physically_unhealthy_days","median_percent_adults_with_diabetes","median_num_hiv_cases","median_percent_adults_with_obesity","median_food_environment_index","median_num_food_insecure","median_percent_excessive_drinking","median_percent_uninsured","median_num_primary_care_physicians","median_preventable_hospitalization_rate","median_percentile_rank_social_vulnerability","median_percentile_rank_socioeconomic_theme","median_percentile_rank_below_poverty","median_percentile_rank_unemployed","median_percentile_rank_per_capita_income","median_percentile_rank_no_highschool_diploma","median_percentile_rank_household_comp_disability_theme","median_percentile_rank_age_65_and_older","median_percentile_rank_age_17_and_younger","median_percentile_rank_disabled","median_percentile_rank_single_parent_households","median_percentile_rank_minority_status_and_language_theme","median_percentile_rank_minorities","median_percentile_rank_limited_english_abilities","median_percentile_rank_housing_and_transportation","median_percentile_percentile_rank_multi_unit_housing","median_percentile_rank_mobile_homes","median_percentile_rank_overcrowding","median_percentile_rank_no_vehicle","median_percentile_rank_institutionalized_in_group_quarters"
"Morrow",190,0.00665106188627541,11207,5.51924952141783,2,1,132,17.1111111111111,44.4,80.858316137,5718.9179237,279.84031602,18.138016722,7.1364046974,4.1713742458,16.1,8,34.6,7.9,930,18.336524785,11.237414745,4,2387,0.7564,0.667,0.469,0.3677,0.7323,0.9376,0.7278,0.1885,0.9516,0.4527,0.7176,0.9296,0.7972,0.9764,0.4336,0.3976,0.9325,0.9857,0.0497,0.0423
"Mower",1052,0.026803913575214,39248,55.175658334171,2,0.969348659003831,122,15.8333333333333,47.8,80.287168401,5612.0613452,286.85558665,14.38207356,6.6929133858,3.0761640913,11.2,56,31.6,8.7,3390,20.243940935,6.870806162,15,5850,0.5651,0.3613,0.3906,0.3531,0.2792,0.5129,0.7838,0.5524,0.809,0.2343,0.808,0.7698,0.5505,0.8914,0.4839,0.8688,0.1086,0.4298,0.6934,0.3999
"Multnomah",3683,0.00473275909703634,778193,1805.04706075061,78,0.951672862453532,121,15.7777777777778,47.9,79.716516775,5835.1220677,311.2767655,14.781153759,6.5398223131,3.6024135659,8,3164,23.6,7.9,108470,23.728979715,8.2280863286,1177,3072,0.5135,0.3693,0.5925,0.6361,0.0796,0.2477,0.0427,0.0876,0.1799,0.2926,0.439,0.8567,0.6896,0.915,0.9105,0.9844,0.0694,0.8087,0.964,0.5861
"Murray",507,0.0128817521215509,39358,114.248645012558,2,0.975903614457831,118,21.8888888888889,60.3,75.47106737,9332.6732039,494.66820328,19.122342278,8.7411511234,3.854421141,20.5,34,34.3,8,4410,16.777927097,20.454410454,7,6416,0.8246,0.8984,0.6944,0.7561,0.9296,0.9838,0.6934,0.1394,0.8535,0.5288,0.744,0.7049,0.5154,0.8252,0.4928,0.1738,0.971,0.8816,0.4358,0.0567
"Muscogee",3810.5,0.0190236791261239,200303,925.521161377774,75,0.9453125,113.5,23.6388888888889,64.7,73.969553725,11063.830768,530.64481342,20.734606422,11.668633467,3.8315313672,13.1,970,38.5,6,39230,14.871563758,13.473172177,198,4383,0.9051,0.7281,0.7902,0.8539,0.5412,0.5339,0.8774,0.0914,0.7873,0.7539,0.9605,0.8628,0.9236,0.6925,0.8797,0.9233,0.057,0.6068,0.9226,0.7918
"Muskegon",1103,0.00640727745893069,172148,344.279985443174,57,0.996108949416342,127,15.2777777777778,48,77.012480315,8556.7609773,404.54501735,16.121531799,9.7520999795,4.2350096872,12.3,187,35.5,6.5,25110,19.755047105,5.5072380638,106,3412,0.7822,0.7157,0.7348,0.8698,0.7074,0.3601,0.7545,0.2732,0.6778,0.5419,0.8586,0.4562,0.6192,0.3107,0.8551,0.7911,0.2824,0.5463,0.8555,0.7494
"Muskingum",167.5,0.0019478782663302,85991,129.38595118735,1,1,129.5,17.6388888888889,54.2,75.913207536,9133.5924903,447.42788311,18.918896149,8.2366102643,4.4398951057,15.2,65,36.6,7,12980,17.95829354,7.3933649289,58,6247,0.6014,0.6463,0.6097,0.6078,0.6839,0.5374,0.7768,0.4273,0.6052,0.5648,0.794,0.2076,0.2993,0.1948,0.6246,0.6842,0.4279,0.3477,0.7475,0.5568
"Nacogdoches",983.5,0.0150024406614192,65556,69.2586858450638,36,0.97244094488189,119.5,23.5833333333333,66.85,77.375359713,8103.7712206,399.1017183,21.853807264,7.9009433962,4.2786208192,15.1,101,35.6,5.5,14130,18.65296501,22.881223662,46,5968,0.9557,0.8379,0.8879,0.7453,0.7284,0.7619,0.4429,0.1283,0.6431,0.4731,0.7167,0.9023,0.8045,0.9032,0.9971,0.8838,0.7466,0.7631,0.7587,0.9067
"Napa",535,0.00379909531823637,140823,188.183083044538,4,0.921146953405018,117,17.1111111111111,51.7,81.768570942,4646.0857462,240.78342391,14.121671961,6.0858819895,3.2933728799,8.6,274,23.8,9,11320,20.176223321,8.5375290173,136,2743,0.5049,0.2709,0.092,0.4616,0.0312,0.6581,0.0955,0.4683,0.4046,0.1337,0.3091,0.9465,0.8618,0.9656,0.8249,0.8488,0.3212,0.9452,0.3473,0.6835
"Nassau",2767,0.0278285203466905,1356801,4763.91833537582,52,0.924214417744917,114,22.5,63,82.882055332,4292.1835498,218.6390956,12.054411759,7.8873580376,2.8691053652,8.6,2930,23.6,9.7,73050,18.439903689,5.3276810164,1913,3588,0.2592,0.0984,0.0204,0.3531,0.0105,0.2356,0.0439,0.4091,0.4374,0.0229,0.15,0.9089,0.7889,0.9271,0.575,0.8937,0.0064,0.6832,0.7389,0.3566
