"state","median_cases","median_ratiocases","median_total_population","median_population_density","median_deaths","mean_D_stay_at_home_effective","median_days_stay_at_home_effective","median_mean_temp","median_dewpoint","median_life_expectancy","median_years_of_potential_life_lost_rate","median_age_adjusted_death_rate","median_percent_fair_or_poor_health","median_percent_low_birthweight","median_average_number_of_physically_unhealthy_days","median_percent_adults_with_diabetes","median_num_hiv_cases","median_percent_adults_with_obesity","median_food_environment_index","median_num_food_insecure","median_percent_excessive_drinking","median_percent_uninsured","median_num_primary_care_physicians","median_preventable_hospitalization_rate","median_percentile_rank_social_vulnerability","median_percentile_rank_socioeconomic_theme","median_percentile_rank_below_poverty","median_percentile_rank_unemployed","median_percentile_rank_per_capita_income","median_percentile_rank_no_highschool_diploma","median_percentile_rank_household_comp_disability_theme","median_percentile_rank_age_65_and_older","median_percentile_rank_age_17_and_younger","median_percentile_rank_disabled","median_percentile_rank_single_parent_households","median_percentile_rank_minority_status_and_language_theme","median_percentile_rank_minorities","median_percentile_rank_limited_english_abilities","median_percentile_rank_housing_and_transportation","median_percentile_percentile_rank_multi_unit_housing","median_percentile_rank_mobile_homes","median_percentile_rank_overcrowding","median_percentile_rank_no_vehicle","median_percentile_rank_institutionalized_in_group_quarters"
"New York",292,0.00395926730446303,81505,110.082341111003,7,0.977519670288498,126,14.7222222222222,47.1,79.25264643,6570.3862422,324.5058179,14.74862208,7.1886446886,3.6050660994,11.1,189,32,8.2,9750,20.0586512,5.3276810164,56,4339,0.4505,0.3703,0.398,0.5425,0.3324,0.3677,0.2732,0.4476,0.2907,0.3445,0.5798,0.4448,0.3801,0.5075,0.7182,0.6498,0.3566,0.3537,0.8609,0.7657
"North Carolina",12028,0.0120451522968707,998576,1196.17111382604,155,0.917431192660551,113,20.4444444444444,59.7,81.623908609,4691.2324853,236.07259823,13.391759885,7.8736775477,3.2818029256,8.5,3211,25.1,8,124130,19.893170376,10.00219295,908,4022,0.3168,0.128,0.192,0.3422,0.0509,0.1356,0.1471,0.0283,0.8141,0.0194,0.6014,0.8701,0.7997,0.8306,0.5291,0.9592,0.1461,0.6842,0.234,0.5619
"Ohio",280,0.00444284688089308,59870,124.970454715975,9,0.990521990848819,129,17.2777777777778,52.2,76.852134607,8524.536833,407.65529146,16.664871997,7.6769025367,4.0395485105,12.9,34,34.2,7.7,7770,18.279825737,7.0091667404,27,4843,0.3712,0.4406,0.4155,0.4823,0.4744,0.3677,0.5081,0.4273,0.5922,0.4419,0.6145,0.2674,0.2668,0.327,0.4097,0.5893,0.2869,0.3012,0.6154,0.5517
"Oregon",182,0.00270992105031453,76582,45.4685632503977,2,0.973530731269628,128,14.7222222222222,42.9,79.037053266,6762.362288,340.29939352,15.127604469,6.5398223131,3.9848160008,10.3,58,31.4,7.6,9450,18.631202895,8.5589519651,49,2661,0.646,0.5403,0.5925,0.737,0.4597,0.3677,0.5705,0.5018,0.4479,0.6103,0.4995,0.6832,0.5396,0.7587,0.8306,0.7539,0.6004,0.7714,0.5801,0.5638
"Rhode Island",1278,0.00834093616158544,164886,978.322394900176,93,0.988219895287958,124,16.3888888888889,52.6,79.438687469,6313.3946367,320.09085243,14.33040384,6.7388688327,3.905884959,10,126,29.1,8.3,15830,18.708577371,4.0533696306,141,4344,0.2034,0.178,0.1067,0.5699,0.056,0.1999,0.1312,0.5237,0.1458,0.2926,0.334,0.5428,0.4575,0.6173,0.5237,0.9347,0.063,0.198,0.766,0.773
"Tennessee",360,0.00932378135043147,39071,82.1423520664458,4,0.968617179005634,118,20.1111111111111,59.3,74.844234273,10215.375858,499.74624273,21.006156532,8.7621446564,4.550653633,14.6,37,33.9,7.8,5100,13.802022313,11.643720819,17,5576,0.616,0.7221,0.6816,0.66,0.6734,0.6925,0.6364,0.5435,0.3919,0.7504,0.5177,0.3859,0.3674,0.3894,0.4817,0.4101,0.6663,0.5482,0.4734,0.3833
"Texas",253,0.00958010599266205,34544,37.8937941814441,6,0.97208512201281,121,24.4444444444444,61.9,77.22692071,8286.9008684,411.40920043,19.727722639,7.9696394687,3.9106577044,11.1,44,32.2,7,4770,17.945981602,20.521918648,11,5310,0.7453,0.6084,0.5664,0.3964,0.5833,0.73,0.6001,0.2939,0.7577,0.5005,0.6269,0.8863,0.8074,0.8742,0.6609,0.4661,0.6482,0.8472,0.3986,0.476
"Vermont",54,0.00150284467026872,36926,55.517376900119,1,0.979683972911964,125.5,13.3888888888889,44.7,79.416310558,6397.7821805,302.51083332,11.947695118,6.5355211635,3.3865404339,9.4,31,28.3,8.3,4340,19.862230406,5.8259555172,38,3469,0.1659,0.163,0.2824,0.2502,0.1859,0.1748,0.2974,0.5753,0.1589,0.5492,0.4514,0.15,0.1624,0.2512,0.5218,0.5957,0.3824,0.39,0.5495,0.7354
"Virginia",208,0.00717744813185951,31209,105.032470107348,4,0.979583885295722,122,18.5555555555556,58,77.264376078,8400.9728579,404.64179182,16.459352761,8.1375,3.6766933519,13.1,46,32.9,8.2,3460,16.94462111,11.311415302,16,4697,0.4126,0.4725,0.4094,0.4368,0.3836,0.609,0.2814,0.5651,0.2569,0.3795,0.5078,0.5673,0.6749,0.4833,0.3461,0.5435,0.4056,0.3155,0.5033,0.5377
"Washington",265.5,0.00368890259514391,72969,41.9681308169507,4,0.95873968492123,123,14.3333333333333,43.05,80.070174224,6209.840743,323.1521544,16.223041389,6.2227324914,4.0123489685,10.3,56,30.9,7.8,8760,18.205300877,7.935981608,35,2918,0.5673,0.4715,0.5014,0.5552,0.4142,0.3085,0.538,0.3575,0.4308,0.4639,0.4836,0.7198,0.5769,0.8138,0.723,0.7781,0.5046,0.759,0.4358,0.3633
"West Virginia",76,0.00258816473686549,27606,68.3088397882025,1,0.997049603540476,134,17.7777777777778,54.7,75.402861973,10245.866004,484.18102449,22.708825315,9.1304347826,5.2848028718,15.2,14,37.2,7.6,3880,12.31670479,7.7390527256,13,5662,0.4947,0.6753,0.6291,0.6361,0.6727,0.6635,0.547,0.6243,0.2375,0.8083,0.3789,0.0764,0.0955,0.1646,0.531,0.4483,0.681,0.276,0.8322,0.4855
"Wisconsin",230,0.00457824835934289,45548,63.4371259194644,2,0.981993612828701,127,14.2222222222222,46.5,79.256047246,6385.9866798,308.21005324,12.941404851,6.4870259481,3.424338802,9.8,17,32.9,8.5,4530,24.855614788,6.501651213,29,3607,0.1974,0.2209,0.2455,0.2502,0.3145,0.1999,0.2445,0.4174,0.4158,0.2203,0.3941,0.3585,0.3152,0.5119,0.4238,0.7644,0.2257,0.382,0.4187,0.5406
